year,month,date,string
2057,April,8,"['8th April, 2057', '08 Apr 2057', '2057-04-08', '04/08/2057', '08-04-2057', '08/04/2057']"
1923,June,24,"['24 Jun 1923', '1923-06-24', '1923/06/24', '06/24/1923', '24-06-1923']"
2085,January,15,"['01/15/2085', '15 Jan 2085', '15th January, 2085', '15-01-2085', 'January 15th, 2085', '15/01/2085', '2085-01-15']"
2095,February,18,"['2095/02/18', '18-02-2095', '02/18/2095']"
2075,June,3,"['06/03/2075', '2075-06-03', '03 Jun 2075', '2075/06/03']"
2011,August,2,"['02-08-2011', '2nd August, 2011', '02/08/2011', 'August 2nd, 2011', '2011/08/02', '02 Aug 2011', '08/02/2011']"
2004,June,3,['03 Jun 2004']
1940,January,18,"['18-01-1940', 'January 18th, 1940', '01/18/1940', '18/01/1940', '18th January, 1940', '1940-01-18']"
1940,October,29,['1940/10/29']
1951,November,22,"['22 Nov 1951', '22/11/1951', '22nd November, 1951', '22-11-1951']"
2039,June,15,"['2039/06/15', '15 Jun 2039', '2039-06-15', '15/06/2039', '15-06-2039', '06/15/2039', 'June 15th, 2039']"
2065,June,11,"['06/11/2065', '2065/06/11', 'June 11th, 2065', '11th June, 2065', '11-06-2065', '11 Jun 2065', '2065-06-11', '11/06/2065']"
1925,March,24,"['March 24th, 1925', '24th March, 1925', '1925-03-24', '03/24/1925', '1925/03/24', '24-03-1925']"
1956,May,19,['1956-05-19']
2017,May,7,"['07 May 2017', '2017/05/07', 'May 7th, 2017', '07/05/2017', '2017-05-07', '05/07/2017', '07-05-2017', '7th May, 2017']"
1931,August,24,['1931/08/24']
1940,February,2,"['02/02/1940', '02/02/1940', '1940/02/02', '2nd February, 1940', 'February 2nd, 1940']"
2003,December,21,"['December 21st, 2003']"
2037,June,5,"['June 5th, 2037', '05 Jun 2037', '06/05/2037', '2037/06/05']"
2045,May,31,"['31st May, 2045', '05/31/2045', '31 May 2045', '2045-05-31', '31-05-2045', '2045/05/31', 'May 31st, 2045', '31/05/2045']"
2000,July,18,"['18-07-2000', '07/18/2000', '18/07/2000', 'July 18th, 2000', '2000/07/18', '2000-07-18', '18 Jul 2000', '18th July, 2000']"
2079,January,26,"['26-01-2079', '2079/01/26', 'January 26th, 2079', '26 Jan 2079', '26/01/2079', '01/26/2079', '2079-01-26']"
2043,July,4,"['4th July, 2043', '2043-07-04', '2043/07/04', '04/07/2043', '07/04/2043']"
1920,November,2,"['02/11/1920', 'November 2nd, 1920', '11/02/1920', '02-11-1920', '02 Nov 1920', '1920-11-02']"
1983,August,4,"['1983/08/04', '04/08/1983', 'August 4th, 1983', '04-08-1983', '4th August, 1983']"
2073,March,24,"['24 Mar 2073', '2073/03/24', '03/24/2073', '2073-03-24', '24th March, 2073']"
1930,September,15,"['September 15th, 1930']"
2039,May,1,"['01 May 2039', '2039-05-01', '1st May, 2039', '05/01/2039']"
1955,March,6,"['1955-03-06', '6th March, 1955', '06-03-1955', '1955/03/06', '06/03/1955', 'March 6th, 1955', '03/06/1955', '06 Mar 1955']"
2026,February,25,"['February 25th, 2026', '2026/02/25', '25 Feb 2026', '25/02/2026', '25th February, 2026']"
1933,October,15,['1933-10-15']
2060,April,10,"['10/04/2060', '10th April, 2060']"
2033,October,3,"['03 Oct 2033', 'October 3rd, 2033', '2033-10-03', '03/10/2033', '03-10-2033', '3rd October, 2033']"
1963,December,1,['1963-12-01']
1997,September,28,['28/09/1997']
2046,January,13,"['January 13th, 2046', '2046/01/13', '01/13/2046']"
2029,April,27,"['27th April, 2029', '27 Apr 2029']"
2030,August,22,"['22nd August, 2030']"
2071,October,28,"['28-10-2071', '28th October, 2071', '28/10/2071', '2071/10/28', '10/28/2071', 'October 28th, 2071', '28 Oct 2071']"
1910,February,24,"['February 24th, 1910']"
2059,June,22,"['22nd June, 2059', '2059/06/22', '2059-06-22', '06/22/2059', '22-06-2059', '22 Jun 2059', '22/06/2059', 'June 22nd, 2059']"
2046,July,22,"['2046-07-22', '22 Jul 2046', '22nd July, 2046', '22/07/2046', 'July 22nd, 2046']"
1919,July,29,['29/07/1919']
1916,February,17,['17/02/1916']
1985,August,22,"['22nd August, 1985', '08/22/1985']"
2005,July,16,"['16 Jul 2005', '16-07-2005', '07/16/2005', '2005/07/16']"
1969,December,4,['1969/12/04']
2091,January,22,"['2091-01-22', '22 Jan 2091', '22-01-2091']"
1997,March,25,"['25th March, 1997', '03/25/1997', '25/03/1997', '25-03-1997']"
1973,September,11,"['11/09/1973', '1973-09-11', '11th September, 1973', '11-09-1973', 'September 11th, 1973', '1973/09/11', '11 Sep 1973']"
1945,July,13,"['1945/07/13', '13th July, 1945', '1945-07-13', '07/13/1945', 'July 13th, 1945']"
1943,February,15,"['15th February, 1943', '02/15/1943', '1943-02-15', '1943/02/15', '15-02-1943', 'February 15th, 1943', '15/02/1943', '15 Feb 1943']"
2053,June,7,"['06/07/2053', '07/06/2053', 'June 7th, 2053', '07 Jun 2053', '2053-06-07', '2053/06/07', '07-06-2053']"
2073,March,5,"['05 Mar 2073', '2073-03-05']"
2082,March,4,"['04 Mar 2082', '03/04/2082', '04-03-2082', 'March 4th, 2082', '2082-03-04', '04/03/2082', '4th March, 2082', '2082/03/04']"
1989,January,19,"['1989/01/19', '01/19/1989', 'January 19th, 1989', '1989-01-19', '19-01-1989', '19/01/1989']"
1905,July,17,['07/17/1905']
2001,December,26,"['December 26th, 2001', '2001-12-26', '26 Dec 2001', '2001/12/26', '12/26/2001', '26-12-2001', '26/12/2001', '26th December, 2001']"
1997,March,9,"['1997/03/09', '09 Mar 1997', '1997-03-09', '9th March, 1997', '09/03/1997', '03/09/1997', 'March 9th, 1997', '09-03-1997']"
1922,March,10,"['03/10/1922', '1922-03-10', '1922/03/10', '10/03/1922', 'March 10th, 1922']"
1965,May,12,"['12/05/1965', '1965-05-12', '12th May, 1965']"
1932,April,19,"['19th April, 1932', '1932/04/19', '19-04-1932', '1932-04-19', '19/04/1932', 'April 19th, 1932']"
1987,December,28,['1987-12-28']
2071,June,15,"['15-06-2071', '15 Jun 2071', '2071-06-15', '15/06/2071', 'June 15th, 2071']"
2093,October,16,"['10/16/2093', '16th October, 2093', '2093/10/16', '16-10-2093']"
2071,October,11,"['2071-10-11', '11 Oct 2071', '2071/10/11']"
2096,January,29,"['2096/01/29', '29-01-2096', '29/01/2096']"
1901,March,4,"['04-03-1901', '1901-03-04', '1901/03/04', '03/04/1901', '4th March, 1901', '04/03/1901', '04 Mar 1901', 'March 4th, 1901']"
2045,February,2,"['2045/02/02', '02-02-2045', '02/02/2045', '2nd February, 2045', '02 Feb 2045']"
2018,September,19,"['19/09/2018', 'September 19th, 2018']"
2000,January,13,['13/01/2000']
2043,July,29,['29/07/2043']
1980,July,7,['07 Jul 1980']
2000,June,26,"['June 26th, 2000', '26/06/2000', '26 Jun 2000', '26th June, 2000', '2000/06/26']"
2010,February,2,"['2010-02-02', '02-02-2010', '02/02/2010', '2010/02/02', 'February 2nd, 2010', '02 Feb 2010']"
1989,July,15,"['15-07-1989', '1989-07-15', 'July 15th, 1989', '07/15/1989', '1989/07/15', '15/07/1989', '15th July, 1989', '15 Jul 1989']"
1959,September,4,['09/04/1959']
1989,February,3,"['February 3rd, 1989', '1989-02-03', '3rd February, 1989', '1989/02/03', '02/03/1989', '03/02/1989', '03 Feb 1989']"
1928,June,9,['1928/06/09']
1985,April,11,"['11th April, 1985', '11-04-1985', '1985/04/11']"
1959,February,27,"['1959/02/27', '27 Feb 1959', '27th February, 1959', '02/27/1959', '27-02-1959', 'February 27th, 1959', '1959-02-27', '27/02/1959']"
2074,September,19,"['19th September, 2074', '19-09-2074', '2074-09-19']"
2069,December,18,"['18 Dec 2069', 'December 18th, 2069', '18th December, 2069', '2069-12-18', '2069/12/18', '18/12/2069', '12/18/2069', '18-12-2069']"
2008,November,25,"['2008-11-25', '11/25/2008', '2008/11/25', 'November 25th, 2008', '25-11-2008', '25/11/2008', '25 Nov 2008']"
2071,August,14,"['14-08-2071', '14/08/2071', 'August 14th, 2071', '2071-08-14', '2071/08/14']"
1918,October,15,"['October 15th, 1918']"
2021,September,21,"['21st September, 2021']"
1900,August,18,"['1900-08-18', '18 Aug 1900', '08/18/1900', '1900/08/18']"
2084,September,16,"['2084/09/16', '09/16/2084', '2084-09-16']"
2051,September,9,"['09-09-2051', '2051/09/09']"
1901,August,19,"['19/08/1901', '1901/08/19', '19-08-1901', '19th August, 1901', '19 Aug 1901', '08/19/1901', '1901-08-19']"
2080,February,29,"['29/02/2080', '29-02-2080', '2080-02-29', '02/29/2080', '29 Feb 2080', '29th February, 2080', '2080/02/29']"
1954,September,26,"['26-09-1954', '1954-09-26', '09/26/1954', '26th September, 1954']"
1992,August,5,"['05-08-1992', '1992/08/05', '05 Aug 1992', '08/05/1992', '1992-08-05', '5th August, 1992', 'August 5th, 1992', '05/08/1992']"
1924,March,26,"['1924/03/26', '26th March, 1924', '26/03/1924', '03/26/1924', 'March 26th, 1924', '26 Mar 1924', '26-03-1924', '1924-03-26']"
2052,March,10,"['March 10th, 2052', '10/03/2052', '10 Mar 2052', '03/10/2052', '10th March, 2052', '2052-03-10', '2052/03/10']"
2098,March,11,"['11-03-2098', '03/11/2098', '2098/03/11', '2098-03-11']"
2045,April,2,"['02-04-2045', '02/04/2045']"
1930,April,6,['1930/04/06']
2011,July,28,['28 Jul 2011']
2058,April,10,"['10 Apr 2058', 'April 10th, 2058', '04/10/2058', '10th April, 2058', '2058-04-10', '10-04-2058', '2058/04/10', '10/04/2058']"
2031,December,29,"['29-12-2031', 'December 29th, 2031', '29th December, 2031', '2031-12-29', '29/12/2031']"
1926,November,15,"['15-11-1926', 'November 15th, 1926', '1926/11/15']"
2071,January,15,"['15 Jan 2071', '01/15/2071', '15-01-2071', '2071/01/15']"
1901,December,15,"['December 15th, 1901', '15-12-1901', '12/15/1901', '15 Dec 1901', '1901/12/15']"
1960,May,20,['1960/05/20']
2061,February,21,"['2061/02/21', '21-02-2061', '02/21/2061', '21 Feb 2061', '2061-02-21', '21st February, 2061']"
2051,March,10,"['2051/03/10', 'March 10th, 2051', '10th March, 2051']"
2085,August,29,"['2085/08/29', '29 Aug 2085', '08/29/2085', 'August 29th, 2085', '29-08-2085']"
1955,January,2,"['2nd January, 1955', 'January 2nd, 1955']"
2068,November,14,"['November 14th, 2068', '14/11/2068', '11/14/2068']"
2097,July,21,"['21 Jul 2097', '2097-07-21', '2097/07/21', 'July 21st, 2097']"
1971,October,26,"['October 26th, 1971', '26/10/1971', '26th October, 1971', '26-10-1971', '10/26/1971']"
1915,February,7,"['1915/02/07', '07 Feb 1915', '1915-02-07', 'February 7th, 1915', '02/07/1915', '07/02/1915']"
2087,August,1,"['1st August, 2087', '01-08-2087', '08/01/2087', '2087/08/01', '01 Aug 2087', 'August 1st, 2087']"
1985,June,23,['23-06-1985']
2042,November,17,"['November 17th, 2042', '17th November, 2042', '2042-11-17', '17-11-2042', '2042/11/17', '17 Nov 2042', '11/17/2042', '17/11/2042']"
1963,October,25,"['1963-10-25', '25/10/1963', '25th October, 1963']"
1975,August,9,"['08/09/1975', '09-08-1975', '09 Aug 1975', 'August 9th, 1975', '1975/08/09', '1975-08-09']"
1936,October,21,['1936/10/21']
1930,November,16,"['1930-11-16', '1930/11/16']"
2009,September,29,"['29-09-2009', '29th September, 2009', '29/09/2009', '29 Sep 2009']"
2092,October,10,"['October 10th, 2092', '10-10-2092', '10/10/2092', '2092-10-10', '10 Oct 2092', '10/10/2092', '10th October, 2092']"
2041,February,27,"['2041-02-27', '27/02/2041']"
1995,November,25,"['1995/11/25', '25/11/1995', '11/25/1995', '1995-11-25']"
1953,February,6,"['06/02/1953', '1953/02/06', 'February 6th, 1953', '02/06/1953', '6th February, 1953', '06-02-1953']"
2043,March,12,['12 Mar 2043']
2044,December,30,"['30-12-2044', '2044/12/30', '30 Dec 2044']"
2053,December,20,"['20 Dec 2053', '2053-12-20', '20/12/2053']"
1987,November,26,"['November 26th, 1987', '11/26/1987', '26-11-1987', '26th November, 1987', '1987-11-26', '26 Nov 1987', '26/11/1987']"
1968,December,5,"['05-12-1968', 'December 5th, 1968', '12/05/1968', '05 Dec 1968']"
2059,July,14,"['2059-07-14', '14 Jul 2059', '2059/07/14']"
1918,February,1,['01 Feb 1918']
1907,April,21,"['21/04/1907', '1907-04-21', '21-04-1907', 'April 21st, 1907', '21st April, 1907', '1907/04/21', '04/21/1907', '21 Apr 1907']"
2028,July,28,"['2028-07-28', '2028/07/28', '07/28/2028', '28-07-2028']"
1974,June,9,"['9th June, 1974', '1974/06/09', '09-06-1974', 'June 9th, 1974', '06/09/1974']"
1940,May,21,"['1940/05/21', '1940-05-21', '21-05-1940', 'May 21st, 1940']"
1913,July,27,"['27-07-1913', 'July 27th, 1913', '27th July, 1913', '1913/07/27', '07/27/1913', '27/07/1913']"
2066,February,16,['16-02-2066']
2053,June,27,"['27 Jun 2053', '2053/06/27', 'June 27th, 2053', '06/27/2053', '2053-06-27', '27/06/2053']"
1928,December,23,"['23-12-1928', '23 Dec 1928', '1928-12-23']"
2068,February,21,"['2068-02-21', '21st February, 2068', '21-02-2068', '02/21/2068', 'February 21st, 2068', '2068/02/21']"
2027,November,4,"['04-11-2027', '11/04/2027', '2027/11/04', 'November 4th, 2027', '2027-11-04']"
2056,November,16,"['16-11-2056', '16th November, 2056']"
2034,August,28,"['28-08-2034', '2034/08/28', '28 Aug 2034', '08/28/2034', '28th August, 2034', '2034-08-28', 'August 28th, 2034']"
2005,April,13,"['2005-04-13', '13th April, 2005', '2005/04/13', '13/04/2005', 'April 13th, 2005', '13-04-2005', '13 Apr 2005']"
2057,June,7,"['07-06-2057', '06/07/2057', '07 Jun 2057', '7th June, 2057', '2057/06/07']"
2072,February,2,['2072-02-02']
1940,September,1,"['01-09-1940', '1st September, 1940']"
2010,July,3,"['2010-07-03', '03/07/2010', '07/03/2010', '03 Jul 2010', '03-07-2010', '2010/07/03']"
1967,July,9,"['07/09/1967', '9th July, 1967', 'July 9th, 1967', '09-07-1967', '1967/07/09', '09/07/1967', '09 Jul 1967']"
2059,July,31,"['2059/07/31', '31-07-2059', '2059-07-31', '31st July, 2059', '31 Jul 2059']"
1900,October,27,"['27th October, 1900', '1900-10-27', '27 Oct 1900', '27/10/1900']"
2023,December,20,"['20/12/2023', '20th December, 2023']"
2062,July,16,"['16 Jul 2062', '16th July, 2062', '07/16/2062', '16/07/2062', '2062/07/16', '2062-07-16', '16-07-2062']"
2034,August,6,"['August 6th, 2034', '2034/08/06', '2034-08-06', '6th August, 2034', '08/06/2034', '06/08/2034', '06-08-2034']"
1964,February,16,"['16 Feb 1964', '16-02-1964', '16/02/1964', '1964-02-16']"
2094,October,22,"['22nd October, 2094', '22-10-2094', '22/10/2094']"
1970,March,5,"['1970-03-05', '5th March, 1970', '03/05/1970', 'March 5th, 1970', '05-03-1970']"
2095,June,18,['2095-06-18']
2022,November,5,"['2022/11/05', '2022-11-05', '5th November, 2022']"
1947,October,26,"['26th October, 1947', 'October 26th, 1947', '1947/10/26', '26-10-1947', '10/26/1947', '26 Oct 1947', '26/10/1947']"
1979,March,12,"['12 Mar 1979', '12-03-1979', 'March 12th, 1979', '12th March, 1979', '1979-03-12', '1979/03/12']"
1903,July,28,"['1903-07-28', '28-07-1903', '28/07/1903', '28 Jul 1903', '1903/07/28', '28th July, 1903', 'July 28th, 1903']"
1951,September,26,"['26th September, 1951', '26-09-1951', 'September 26th, 1951', '26/09/1951', '26 Sep 1951']"
2082,September,2,"['02-09-2082', '02 Sep 2082']"
2096,February,4,"['4th February, 2096', '04/02/2096', 'February 4th, 2096', '04 Feb 2096', '2096-02-04', '04-02-2096']"
2075,October,8,"['08-10-2075', 'October 8th, 2075', '8th October, 2075', '08 Oct 2075', '2075-10-08', '08/10/2075', '2075/10/08']"
1900,April,24,"['April 24th, 1900', '24 Apr 1900']"
1917,July,20,"['20 Jul 1917', '1917/07/20', '1917-07-20', 'July 20th, 1917', '07/20/1917', '20th July, 1917']"
1900,June,6,"['1900/06/06', '06-06-1900']"
1982,June,10,"['June 10th, 1982', '10-06-1982', '06/10/1982', '10/06/1982', '1982/06/10', '1982-06-10']"
1990,December,12,"['1990/12/12', '12/12/1990', '12-12-1990', 'December 12th, 1990', '12 Dec 1990']"
1901,July,6,['06/07/1901']
1920,March,22,"['1920/03/22', '1920-03-22', 'March 22nd, 1920', '22-03-1920']"
1906,November,29,"['29/11/1906', 'November 29th, 1906', '29 Nov 1906', '29th November, 1906', '1906-11-29', '11/29/1906', '29-11-1906', '1906/11/29']"
1995,September,5,"['1995-09-05', '09/05/1995', '5th September, 1995']"
1956,June,29,"['29 Jun 1956', '1956/06/29']"
1903,May,2,"['May 2nd, 1903', '02/05/1903', '2nd May, 1903']"
2079,April,16,"['04/16/2079', '16th April, 2079', '16-04-2079', '16/04/2079', '2079-04-16', 'April 16th, 2079', '2079/04/16']"
2026,December,6,"['06-12-2026', '6th December, 2026', 'December 6th, 2026', '12/06/2026']"
2096,October,24,"['10/24/2096', '24-10-2096', '2096/10/24']"
1974,December,14,"['14th December, 1974', '14-12-1974', 'December 14th, 1974', '1974-12-14', '12/14/1974']"
2063,November,15,"['15th November, 2063', '15-11-2063', '2063-11-15', '15 Nov 2063', '15/11/2063']"
1961,April,8,"['08/04/1961', '1961-04-08', '04/08/1961']"
2033,March,14,"['14 Mar 2033', '03/14/2033', '14th March, 2033']"
2036,October,18,"['2036/10/18', '18th October, 2036', '18/10/2036', 'October 18th, 2036', '2036-10-18', '18-10-2036', '10/18/2036', '18 Oct 2036']"
2080,September,26,"['09/26/2080', '2080/09/26']"
1944,December,24,"['24/12/1944', '24-12-1944']"
2089,March,12,"['2089/03/12', '03/12/2089', '12/03/2089', 'March 12th, 2089']"
2060,December,21,"['21-12-2060', '21 Dec 2060', '21st December, 2060', '2060/12/21', '12/21/2060', 'December 21st, 2060', '2060-12-21', '21/12/2060']"
1961,March,22,"['March 22nd, 1961']"
2082,November,8,"['2082/11/08', '8th November, 2082']"
1902,August,29,"['29th August, 1902', '29/08/1902', '08/29/1902', '1902-08-29', '1902/08/29', '29 Aug 1902']"
2054,March,13,"['13th March, 2054', 'March 13th, 2054', '2054-03-13', '13-03-2054', '2054/03/13', '13 Mar 2054', '13/03/2054']"
2042,June,1,"['1st June, 2042', '01-06-2042', '06/01/2042', 'June 1st, 2042']"
1950,February,14,"['1950-02-14', '1950/02/14', '14/02/1950', '02/14/1950', '14 Feb 1950', '14th February, 1950', '14-02-1950', 'February 14th, 1950']"
1922,May,17,"['17 May 1922', '1922-05-17', 'May 17th, 1922', '1922/05/17', '17/05/1922', '05/17/1922', '17th May, 1922', '17-05-1922']"
1924,February,19,"['1924-02-19', '19 Feb 1924', '19th February, 1924', '19-02-1924', '1924/02/19', '19/02/1924', 'February 19th, 1924', '02/19/1924']"
2085,February,19,"['02/19/2085', '19-02-2085', '19th February, 2085', '2085/02/19', '19/02/2085', 'February 19th, 2085', '19 Feb 2085', '2085-02-19']"
2033,April,7,"['07-04-2033', '07/04/2033', 'April 7th, 2033', '04/07/2033', '2033/04/07', '7th April, 2033', '07 Apr 2033']"
1979,December,31,"['December 31st, 1979', '31st December, 1979', '31/12/1979', '12/31/1979', '1979/12/31']"
2041,June,16,"['2041-06-16', '16 Jun 2041', 'June 16th, 2041', '16th June, 2041', '16-06-2041']"
2012,September,22,"['22/09/2012', '22 Sep 2012', 'September 22nd, 2012', '2012-09-22']"
1983,September,20,"['1983/09/20', '20th September, 1983', '20 Sep 1983', '20-09-1983', '1983-09-20', '09/20/1983', 'September 20th, 1983', '20/09/1983']"
1925,August,30,"['30th August, 1925', '08/30/1925', '30-08-1925', '1925/08/30', '30 Aug 1925', 'August 30th, 1925', '1925-08-30', '30/08/1925']"
2012,November,30,"['30th November, 2012', '30-11-2012', 'November 30th, 2012', '30 Nov 2012', '11/30/2012', '2012-11-30', '30/11/2012']"
1964,May,7,"['05/07/1964', '07 May 1964', '1964-05-07', '7th May, 1964', '07/05/1964', '07-05-1964', '1964/05/07', 'May 7th, 1964']"
2047,January,24,"['01/24/2047', '24-01-2047', '24 Jan 2047', '24/01/2047', 'January 24th, 2047']"
1996,October,22,"['1996-10-22', '22 Oct 1996']"
2012,June,11,"['2012/06/11', '11th June, 2012', '11/06/2012']"
2044,December,11,"['11/12/2044', '2044-12-11', '2044/12/11', '11 Dec 2044', '11-12-2044']"
2070,September,29,"['29 Sep 2070', '29th September, 2070', '2070-09-29']"
2031,February,23,['23 Feb 2031']
2080,February,1,"['01 Feb 2080', '2080-02-01', 'February 1st, 2080']"
1929,October,23,"['23/10/1929', 'October 23rd, 1929', '23-10-1929', '1929/10/23', '23rd October, 1929', '1929-10-23', '10/23/1929']"
1956,October,26,"['26-10-1956', '10/26/1956', 'October 26th, 1956', '1956/10/26', '1956-10-26']"
2026,June,17,['2026/06/17']
2074,October,21,"['2074-10-21', 'October 21st, 2074', '21/10/2074', '21st October, 2074', '10/21/2074', '2074/10/21', '21-10-2074']"
2053,October,10,"['2053/10/10', '10 Oct 2053', '2053-10-10', 'October 10th, 2053', '10/10/2053', '10th October, 2053', '10/10/2053', '10-10-2053']"
2039,April,28,"['28-04-2039', '2039-04-28']"
2060,August,9,"['08/09/2060', '09 Aug 2060', '2060-08-09', '9th August, 2060']"
2006,July,4,"['07/04/2006', 'July 4th, 2006']"
1994,November,23,"['1994-11-23', '23 Nov 1994', '1994/11/23', '23-11-1994', 'November 23rd, 1994', '23/11/1994']"
2043,March,27,"['2043/03/27', '03/27/2043', '27/03/2043', '2043-03-27', '27 Mar 2043', 'March 27th, 2043']"
2032,January,12,"['January 12th, 2032', '12-01-2032', '12th January, 2032', '12/01/2032', '2032/01/12']"
